 C_Mass(GeV)   N_Mass(GeV)     tau(ns)    Init_xs(fb)      EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
   400.268     400.096         10.000      144.984      9.0447e-02      2.6915e-02      2.4344e-03      1.8188e-03    2.637e-01     1.210e+02       9.52e+00    1.20e+00    8045429 
   500.235     500.062         0.010      52.734      9.6895e-02      4.1553e-08      4.0262e-09      3.5014e-09    1.846e-07     6.283e+07       6.67e-06    8.39e-07    6 
   500.235     500.062         0.015      52.734      9.6895e-02      5.0101e-07      4.8545e-08      4.1760e-08    2.202e-06     5.268e+06       7.95e-05    1.00e-05    75 
   500.235     500.062         0.020      52.734      9.6895e-02      3.8563e-06      3.7365e-07      3.2592e-07    1.719e-05     6.750e+05       6.20e-04    7.81e-05    439 
   500.235     500.062         0.025      52.734      9.6895e-02      1.7543e-05      1.6999e-06      1.4655e-06    7.728e-05     1.501e+05       2.79e-03    3.51e-04    1717 
   500.235     500.062         0.030      52.734      9.6895e-02      4.8495e-05      4.6989e-06      4.0453e-06    2.133e-04     5.438e+04       7.70e-03    9.70e-04    4361 
   500.235     500.062         0.040      52.734      9.6895e-02      2.0850e-04      2.0203e-05      1.7361e-05    9.155e-04     1.267e+04       3.31e-02    4.16e-03    16561 
   500.235     500.062         0.050      52.734      9.6895e-02      5.6983e-04      5.5214e-05      4.7083e-05    2.483e-03     4.673e+03       8.96e-02    1.13e-02    41221 
   500.235     500.062         0.060      52.734      9.6895e-02      1.1937e-03      1.1566e-04      9.8227e-05    5.180e-03     2.240e+03       1.87e-01    2.35e-02    80757 
   500.235     500.062         0.070      52.734      9.6895e-02      2.0985e-03      2.0334e-04      1.7213e-04    9.077e-03     1.278e+03       3.28e-01    4.13e-02    133957 
   500.235     500.062         0.080      52.734      9.6895e-02      3.2857e-03      3.1836e-04      2.6884e-04    1.418e-02     8.183e+02       5.12e-01    6.45e-02    202049 
   500.235     500.062         0.090      52.734      9.6895e-02      4.7337e-03      4.5867e-04      3.8696e-04    2.041e-02     5.685e+02       7.37e-01    9.28e-02    283026 
   500.235     500.062         0.100      52.734      9.6895e-02      6.4073e-03      6.2083e-04      5.2265e-04    2.756e-02     4.209e+02       9.95e-01    1.25e-01    373980 
   500.235     500.062         0.150      52.734      9.6895e-02      1.7261e-02      1.6725e-03      1.4025e-03    7.396e-02     1.569e+02       2.67e+00    3.36e-01    940254 
